"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"8065",149.3,3,161,83,0.879,15.12,2.3,42,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 5"
"8067",77.2,3,55,87,0.56,14.46,1.8,36,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 4"
"8077",27.5,18,64,76,0.32,19.3,6,109,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8078",25.6,14,65,78,0.309,18.32,13.3,127,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8079",24.4,16,56,82,0.302,18.06,17,123,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8080",30.8,15,56,80,0.335,18.37,15.1,113,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8081",27.5,21,58,80,0.318,18.15,11.9,104,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8082",23.2,18,74,79,0.296,18.38,15,101,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8083",18.2,12,48,81,0.271,18.16,14.9,90,"Intervalo 2","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8084",17.2,10,25,83,0.266,18.03,13.7,102,"Intervalo 2","Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8085",19.2,7,25,86,0.276,17.6,10.9,116,"Intervalo 2","Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8086",18.3,7,15,87,0.271,17.55,10.8,114,"Intervalo 2","Intervalo 1","Intervalo 2",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8088",20.8,5,18,88,0.283,17.06,10,101,"Intervalo 3","Intervalo 1","Intervalo 2",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8089",21.5,5,20,88,0.286,16.95,7.4,96,"Intervalo 3","Intervalo 1","Intervalo 2",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8090",21.1,5,22,88,0.283,16.78,5.3,84,"Intervalo 3","Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8092",13.3,6,28,89,0.243,17.1,5.9,117,"Intervalo 2","Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8093",12.2,7,15,89,0.238,17.2,7.4,141,"Intervalo 2","Intervalo 1","Intervalo 2",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8094",13.9,6,14,89,0.246,17.2,2.8,107,"Intervalo 2","Intervalo 1","Intervalo 2",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8095",15.6,5,10,89,0.254,17.21,3.1,111,"Intervalo 2","Intervalo 1","Intervalo 1",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8096",15.6,6,10,89,0.254,17.05,5.7,88,"Intervalo 2","Intervalo 1","Intervalo 1",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8098",15.2,6,13,90,0.253,17.19,5.9,113,"Intervalo 2","Intervalo 1","Intervalo 2",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8100",24.4,7,27,89,0.301,17.66,7.3,97,"Intervalo 3","Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8101",27.6,8,35,88,0.318,18.49,8.2,86,"Intervalo 3","Intervalo 1","Intervalo 4",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8102",22.6,14,42,82,0.295,19.87,11.8,90,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8103",19.7,21,44,75,0.281,20.4,15.4,114,"Intervalo 2","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8104",21.3,21,50,73,0.289,20.59,14.1,115,"Intervalo 3","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8105",22.6,20,45,74,0.295,20.13,13.4,113,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8106",24.7,16,49,77,0.305,19.45,12.2,113,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"8107",26,9,51,80,0.311,19.03,10,117,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8108",32.4,4,50,82,0.342,18.62,6.8,96,"Intervalo 4","Intervalo 1","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8109",35,4,60,84,0.354,18.46,6.1,101,"Intervalo 4","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8110",35,4,59,85,0.354,18.36,6.7,108,"Intervalo 4","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8111",42.8,3,65,86,0.393,18.28,5,112,"Intervalo 5","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8112",53.3,3,72,86,0.445,18.26,3.8,71,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8113",38.3,4,72,86,0.37,18.03,4,48,"Intervalo 4","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 5"
"8114",29.2,4,58,84,0.324,17.74,2.6,24,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 3"
"8115",21.9,3,46,83,0.288,17.86,3.5,75,"Intervalo 3","Intervalo 1","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8116",33,4,40,84,0.343,17.94,3.9,62,"Intervalo 4","Intervalo 1","Intervalo 4",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8117",23.8,3,63,85,0.297,17.59,2.4,46,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 5"
"8125",32.2,17,47,49,0.35,26.01,5.5,139,"Intervalo 4","Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"8126",31.5,25,59,53,0.346,25.82,8.5,104,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8127",39.6,30,83,53,0.387,26.11,10.9,103,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8128",40.9,38,105,55,0.393,25.97,12.5,104,"Intervalo 5","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8129",46.9,47,153,56,0.423,25.7,13.3,109,"Intervalo 5","Intervalo 5",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8130",47.6,41,149,60,0.426,24.68,13.1,109,"Intervalo 5","Intervalo 5",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"8131",47.9,21,134,69,0.424,22.57,13.2,101,"Intervalo 5","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
