"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"4022",8.6,51,98,40,0,32.53,15,21,"Intervalo 1",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 3"
"4023",8.4,39,100,33,0,34.4,15.1,20,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4024",7.8,32,87,31,0,34.77,18.3,19,"Intervalo 1","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4025",7.8,32,97,27,0,35.56,16.8,20,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4026",8.7,28,65,26,0,35.87,17.2,18,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4027",9.4,25,73,28,0,35.01,19,19,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4028",9.2,22,71,29,0,34.17,19.4,19,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2","Intervalo 2"
"4029",8.8,20,67,37,0,32.28,21.9,21,"Intervalo 1","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 3"
"4030",11.4,19,90,47,0,29.28,17.2,22,"Intervalo 2","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"4031",9,17,53,50,0,28.78,19.1,22,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"4032",8.2,15,47,55,0,27.73,17.3,21,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"4033",8.6,14,58,58,0,26.82,14.9,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"4035",8.5,11,57,65,0,25.16,15.4,19,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4036",8.7,11,46,66,0,24.54,12.8,20,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 2"
"4037",8.2,11,51,68,0,23.98,11.9,21,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2","Intervalo 3"
"4039",10.9,7,72,73,0,23.35,8.3,20,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"4040",13,7,54,73,0,23.57,6.7,19,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
