"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"152",30.1,12,50,66,0,12.28,7.5,117,"Intervalo 4","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"153",36.6,8,64,64,0,11.48,6.1,118,"Intervalo 4","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"154",38.9,8,56,60,0.024,11.09,7.5,116,"Intervalo 4","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"155",46.8,8,50,48,0.082,11.36,6.3,116,"Intervalo 5","Intervalo 1","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"156",51.2,9,60,52,0.151,11.63,6.2,100,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"157",49.2,14,56,41,0.342,13.09,3.3,77,"Intervalo 5","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"158",40.1,23,60,41,0.514,15.04,5.2,80,"Intervalo 5","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"159",43.5,27,61,53,0.503,16.11,5,115,"Intervalo 5","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"160",61.8,20,70,54,0.428,15.56,8.4,98,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"161",58.7,19,82,43,0.297,15.26,7.1,111,NA,"Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"162",63.6,13,74,38,0.161,14.57,7.9,103,NA,"Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"163",72.4,6,84,42,0.016,13.35,6.9,112,NA,"Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"164",78.8,2,91,56,0,12.46,7.7,115,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"165",59.9,3,97,79,0,11.52,7,113,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"166",70.6,2,75,83,0,11.26,4.9,121,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"167",73.5,2,88,83,0,10.93,4.7,117,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"168",76.4,3,99,83,0,10.87,1.7,111,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"169",80.6,3,89,83,0,11.03,1.2,76,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"170",80.6,3,99,73,0,11.43,1.6,85,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"175",56,2,102,58,0,10.35,2.1,85,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"176",53.9,2,99,83,0,10.02,1,152,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"177",77.3,3,73,70,0.007,10.09,0.6,63,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"178",93.8,4,91,53,0.053,10.92,1.9,101,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"179",64.6,9,91,46,0.172,12.88,0.9,93,NA,"Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"180",71.4,15,132,40,0.24,14.72,1.8,120,NA,"Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"181",70.7,26,149,28,0.46,18.45,1.7,113,NA,"Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
"182",68.7,34,167,24,0.494,20.86,4.1,94,NA,"Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"183",73.1,39,144,30,0.349,21.35,5.4,115,NA,"Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"184",70.2,42,142,32,0.258,21.96,5.1,123,NA,"Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"185",71.1,46,139,48,0.169,22.23,4.7,123,NA,"Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"186",68.4,41,139,50,0.125,22.06,5.1,112,NA,"Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"187",72.9,27,121,54,0.041,21.48,2.9,124,NA,"Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"203",101.6,10,101,31,0.278,21.33,0.7,84,NA,"Intervalo 1",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"204",48.5,19,84,24,0.413,24.48,2.4,110,"Intervalo 5","Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"205",39.3,27,68,22,0.504,25,5.2,109,"Intervalo 4","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"207",29.1,70,108,38,0.505,24.57,12,117,"Intervalo 3",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 2",NA
"208",22.1,68,86,51,0.434,24.61,13.1,111,"Intervalo 3",NA,NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"209",19.7,59,70,53,0.299,24.74,13.2,110,"Intervalo 2",NA,NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"210",17.5,43,61,48,0.157,23.87,14.1,108,"Intervalo 2","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"211",18.7,34,55,39,0.019,21.88,16.1,116,"Intervalo 2","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 2",NA
"212",19,28,55,57,0,20.14,16.2,116,"Intervalo 2","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"213",25.1,20,50,62,0,19.6,12.8,114,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"214",20.2,30,52,59,0,19.25,11.8,125,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"215",18,34,49,60,0,18.62,13,126,"Intervalo 2","Intervalo 4","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"216",14.6,36,50,41,0,18.02,12.1,128,"Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"217",12.8,36,41,48,0,17.59,16.4,115,"Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"218",12.9,30,59,29,0,16.26,17.7,120,"Intervalo 2","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"219",11.1,30,67,22,0,15.5,14.9,120,"Intervalo 2","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"220",11.3,27,56,30,0,14.2,14.4,115,"Intervalo 2","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"221",15.3,22,60,33,0,13.37,10.1,105,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"222",15.2,21,79,35,0,12.59,11.4,104,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"223",16.3,19,58,40,0,11.74,11.8,106,"Intervalo 2","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"224",20.3,16,50,44,0,10.93,9.4,111,"Intervalo 3","Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"225",28.8,10,38,47,0,10.23,8,102,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"226",32.4,8,34,49,0.024,10.14,6.9,108,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"227",35.1,9,44,47,0.055,10.55,3.7,89,"Intervalo 4","Intervalo 1","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"228",47.6,7,45,41,0.071,11.02,4.4,90,"Intervalo 5","Intervalo 1","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"229",56.3,7,53,45,0.1,11.22,6.3,99,NA,"Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"230",81.9,10,66,45,0.135,10.82,8.8,96,NA,"Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"231",44.5,11,66,44,0.119,11.06,7.5,93,"Intervalo 5","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"232",48.5,8,64,44,0.069,10.95,7.4,98,"Intervalo 5","Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"233",46.7,9,62,43,0.065,10.93,7.8,98,"Intervalo 5","Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"234",45,7,58,40,0.026,10.89,8.3,123,"Intervalo 5","Intervalo 1",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"235",43.6,6,57,40,0.006,11,8,115,"Intervalo 5","Intervalo 1",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"236",49.4,5,54,41,0,11.25,10,118,"Intervalo 5","Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"237",41.7,6,56,40,0,10.72,9.6,102,"Intervalo 5","Intervalo 1",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"238",31.8,10,40,37,0,10.1,8.5,106,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"239",23.8,17,46,40,0,9.89,12.6,114,"Intervalo 3","Intervalo 2","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 2",NA
"240",19.2,20,38,46,0,9.91,11.1,113,"Intervalo 2","Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 2",NA
"241",13.4,28,30,51,0,10.06,8.8,112,"Intervalo 2","Intervalo 3","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"243",15.2,26,20,40,0,9.86,8.8,125,"Intervalo 2","Intervalo 3","Intervalo 2","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1",NA
"244",16.1,24,33,49,0,9.88,8.1,132,"Intervalo 2","Intervalo 3","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"247",15.3,25,29,48,0,9.75,8.1,121,"Intervalo 2","Intervalo 3","Intervalo 3","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"248",18.5,24,25,44,0,9.56,9,124,"Intervalo 2","Intervalo 3","Intervalo 3","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"249",27.4,18,23,41,0,9.33,9.6,122,"Intervalo 3","Intervalo 2","Intervalo 3","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"250",39,10,36,43,0.035,9.14,9.2,120,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"251",44.1,10,47,44,0.111,9.61,7.9,115,"Intervalo 5","Intervalo 1","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"252",41.9,13,39,44,0.151,10.25,6,115,"Intervalo 5","Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"253",34.4,20,45,42,0.347,11.37,6.2,114,"Intervalo 4","Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"254",47.7,22,42,41,0.562,12.46,7.8,109,"Intervalo 5","Intervalo 3","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"255",41.1,26,51,43,0.472,12.83,8.3,102,"Intervalo 5","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"256",36.2,33,59,33,0.41,12.98,10.2,96,"Intervalo 4","Intervalo 4",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"257",30.5,36,55,43,0.311,13.04,11.4,105,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"258",27.6,35,56,43,0.205,12.96,11,104,"Intervalo 3","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"259",31.1,27,51,35,0.029,11.97,9.6,105,"Intervalo 4","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"260",37.9,20,49,45,0,11.33,10.5,102,"Intervalo 4","Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"261",26.4,23,47,45,0,10.8,8.5,125,"Intervalo 3","Intervalo 3","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"262",25.8,22,34,47,0,10.24,7.4,152,"Intervalo 3","Intervalo 3","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"263",22.8,25,34,49,0,9.76,5.8,161,"Intervalo 3","Intervalo 3","Intervalo 4","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 1",NA
"278",75.9,9,89,44,0.074,13.24,2,40,NA,"Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 4"
"279",87.9,10,122,26,0.141,12.91,5,101,NA,"Intervalo 1",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
"280",77.6,14,106,24,0.215,14.36,4.4,91,NA,"Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
"281",78.9,11,104,20,0.117,14.47,7.2,101,NA,"Intervalo 2",NA,"Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 1",NA
"282",83.1,9,108,19,0.084,14.94,3.4,74,NA,"Intervalo 1",NA,"Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 1",NA
"283",100.5,6,110,22,0.037,14.92,0.5,137,NA,"Intervalo 1",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
