"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"13439",10.4,22,52,34,0,32.45,14.2,124,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13440",8,23,50,36,0,31.26,17.2,128,"Intervalo 1","Intervalo 3","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13441",7.4,22,47,42,0,29.93,14.8,134,"Intervalo 1","Intervalo 3","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13442",13,15,43,48,0,28.81,12.2,142,"Intervalo 2","Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13448",20,10,66,64,0.183,26.11,8.8,155,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13449",22.1,14,71,60,0.362,27.51,8.7,149,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13450",25.2,22,83,57,0.53,28.51,10.8,134,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13451",25.3,39,97,54,0.666,29.32,13.8,139,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13452",22.9,64,96,50,0.757,30.33,16.1,128,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13453",19.9,79,101,46,0.788,31.76,16.5,131,"Intervalo 2",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13454",19.6,81,100,42,0.782,33.15,17,120,"Intervalo 2",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13455",14.5,66,94,37,0.703,34.64,16.8,118,"Intervalo 2",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13456",9.5,57,66,33,0.55,35.64,14.5,135,"Intervalo 1",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13457",8,46,51,29,0.438,36.34,16.4,132,"Intervalo 1","Intervalo 5",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13458",7.7,42,50,31,0.25,36.28,16.3,138,"Intervalo 1","Intervalo 5","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13459",7.9,30,59,26,0.092,36.09,15.2,147,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13460",7.8,26,63,25,0.005,34.85,13.4,148,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13461",8.1,24,59,24,0,34.07,11.6,149,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13462",10.7,21,53,27,0,33,15.4,133,"Intervalo 2","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13463",12.7,17,55,33,0,31.54,15.2,131,"Intervalo 2","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13464",9.7,19,62,39,0,30.46,15.9,129,"Intervalo 1","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13465",5.8,23,74,42,0,29.63,18.7,134,"Intervalo 1","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13466",5.3,19,70,52,0,28.27,16.6,133,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13467",9.8,12,70,58,0,27.19,16.6,128,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13468",13.7,6,74,64,0,25.7,16.5,134,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13469",11.2,7,79,68,0,24.8,13.7,140,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13470",13.7,5,73,69,0,24.38,9,139,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13471",12.1,7,76,69,0.046,24.32,12.1,151,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13472",12.5,11,86,65,0.173,25.46,8.7,154,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13473",14,17,82,59,0.375,27.29,7.3,138,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13474",12.3,29,75,55,0.542,28.47,8.2,138,"Intervalo 2","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13475",11.8,43,75,49,0.685,30,9.5,139,"Intervalo 2","Intervalo 5",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"13476",14.3,58,88,46,0.77,30.74,12.1,133,"Intervalo 2",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13477",13.3,61,83,43,0.807,31.68,13.8,121,"Intervalo 2",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13478",8,41,74,33,0.798,33.67,16,129,"Intervalo 1","Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13479",7,32,58,28,0.727,35.05,19.2,129,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13480",5.5,33,66,23,0.598,36.11,20.8,138,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 3",NA
"13481",5.4,31,66,14,0.435,36.95,20.3,135,"Intervalo 1","Intervalo 4",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 3",NA
"13482",6.3,27,53,11,0.264,37.27,16.7,145,"Intervalo 1","Intervalo 3",NA,"Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13483",6.1,27,54,10,0.1,36.37,16.2,151,"Intervalo 1","Intervalo 3",NA,"Intervalo 1","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13485",9.2,21,42,17,0,33.74,11.3,146,"Intervalo 1","Intervalo 3","Intervalo 5","Intervalo 2","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13486",8.1,16,52,33,0,31.7,16.9,130,"Intervalo 1","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13487",8.1,13,76,43,0,29.96,17.8,128,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13488",10.6,9,71,50,0,28.39,17,126,"Intervalo 2","Intervalo 1",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"13489",12.9,6,69,55,0,27.37,15.4,133,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13490",13.3,5,64,59,0,26.6,14.8,138,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13491",14.3,4,68,65,0,25.55,12.8,146,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13492",14.1,4,79,69,0,24.8,13.2,152,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13495",17.3,3,99,75,0.025,23.86,7.1,155,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13496",21.1,6,126,71,0.154,25.47,4.3,155,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13497",28.5,11,60,60,0.369,28.25,5.2,143,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"13498",21.4,20,78,55,0.545,29.21,7.4,137,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
