"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"11362",33.6,17,75,75,0.172,23.56,5.6,114,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11363",25.4,22,66,70,0.248,24.57,7,69,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11364",25.1,28,64,60,0.609,26.94,7.8,86,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11365",30,30,62,54,0.644,28.07,8.4,110,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11366",32.1,31,74,52,0.642,28.8,10,120,"Intervalo 4","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11367",33.1,33,84,49,0.574,29.42,11.7,117,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11368",35.5,29,79,47,0.444,30.16,13.6,139,"Intervalo 4","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"11369",29.9,28,97,48,0.381,29.98,17.6,147,"Intervalo 3","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11370",29.2,27,90,47,0.202,29.85,18.4,148,"Intervalo 3","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11371",35,23,101,50,0.051,29.32,16.2,147,"Intervalo 4","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"11372",39.5,17,88,56,0.001,28.46,12.5,136,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11373",26.3,20,89,67,0,26.5,17.1,134,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11374",25.2,21,88,72,0,24.93,14.7,136,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11375",26.6,19,70,75,0,24.29,11.3,135,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11376",23,20,58,77,0,23.88,10.2,138,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11377",17.4,22,63,79,0,23.54,9.1,131,"Intervalo 2","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11378",16.6,21,60,80,0,23.38,10.5,144,"Intervalo 2","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11379",20.1,18,45,80,0,23.18,9.8,145,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11380",18.5,18,44,80,0,23.01,9.1,134,"Intervalo 2","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11381",17.4,20,56,81,0,22.91,8.4,144,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11382",26.6,16,52,81,0,23.04,6.3,147,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11383",34,13,58,81,0.006,23.02,4.6,81,"Intervalo 4","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11384",53,11,68,80,0.042,23.41,7.2,147,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11385",40.2,14,88,80,0.091,23.55,6.9,130,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11386",44.4,15,83,76,0.19,24.8,5.1,136,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11387",28.3,22,78,68,0.286,26.43,6.1,92,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11388",27.2,25,69,63,0.474,27.38,8.2,100,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11389",29.8,30,68,55,0.342,28.62,6.6,111,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11390",36,35,69,49,0.536,30.05,8.4,143,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 1",NA
"11391",29.4,39,90,47,0.538,30.71,9.6,134,"Intervalo 3","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 1",NA
"11392",34.9,38,88,45,0.412,31.15,11.1,146,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"11393",36,33,88,44,0.294,31.38,11.9,153,"Intervalo 4","Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
